"data","UR"
2005-07-24,88.1666666666667
2005-07-25,81.4166666666667
2005-07-26,76.1666666666667
2005-07-27,89.125
2005-07-28,77.875
2005-07-29,77.7916666666667
2005-07-30,68.8333333333333
2005-07-31,70.9583333333333
2005-08-01,69.625
2005-08-02,66.4166666666667
2005-08-03,65.5416666666667
2005-08-04,66.5416666666667
2005-08-05,66.2083333333333
2005-08-06,63.125
2005-08-07,74.375
2005-08-08,88.4583333333333
2005-08-09,89.0416666666667
2005-08-10,79.9583333333333
2005-08-11,76.375
2005-08-12,79.2916666666667
2005-08-13,81.6666666666667
2005-08-14,75.75
2005-08-15,83.0833333333333
2005-08-16,79.8333333333333
2005-08-17,65.25
2005-08-18,77.625
2005-08-19,83.0416666666667
2005-08-20,78.25
2005-08-21,79.5
2005-08-22,68.3333333333333
2005-08-23,57.1666666666667
2005-08-24,58.2916666666667
2005-08-25,83.625
2005-08-26,84.625
2005-08-27,80.125
2005-08-28,61.5416666666667
2005-08-29,51.9166666666667
2005-08-30,50.5416666666667
2005-08-31,81.7083333333333
2005-09-01,82.875
2005-09-02,86.375
2005-09-03,87.25
2005-09-04,76.4166666666667
2005-09-05,82.625
2005-09-06,91.1666666666667
2005-09-07,93.25
2005-09-08,91.0416666666667
2005-09-09,81.375
2005-09-10,66.8333333333333
2005-09-11,63.5833333333333
2005-09-12,90.5
2005-09-13,95.2083333333333
2005-09-14,93.8333333333333
2005-09-15,81.2083333333333
2005-09-16,89.8333333333333
2005-09-17,92.4583333333333
2005-09-18,90.9583333333333
2005-09-19,80.7083333333333
2005-09-20,77.5833333333333
2005-09-21,89.75
2005-09-22,83.2916666666667
2005-09-23,80.7916666666667
2005-09-24,84.0416666666667
2005-09-25,86.7083333333333
2005-09-26,94.4583333333333
2005-09-27,90.125
2005-09-28,83.3333333333333
2005-09-29,82.0416666666667
2005-09-30,81.375
2005-10-01,79.9583333333333
2005-10-02,94.2083333333333
2005-10-03,82.4166666666667
2005-10-04,72.8333333333333
2005-10-05,87.5833333333333
2005-10-06,91.375
2005-10-07,88.9166666666667
2005-10-08,78.7916666666667
2005-10-09,86.1666666666667
2005-10-10,90.2083333333333
2005-10-11,91.375
2005-10-12,76
2005-10-13,59.1666666666667
2005-10-14,68.8333333333333
2005-10-15,92.2083333333333
2005-10-16,87.2083333333333
2005-10-17,78.4583333333333
2005-10-18,92.6666666666667
2005-10-19,91.2916666666667
2005-10-20,87.4583333333333
2005-10-21,79.125
2005-10-22,81.8333333333333
2005-10-23,89.8333333333333
2005-10-24,90.7916666666667
2005-10-25,74.375
2005-10-26,85.875
2005-10-27,85.25
2005-10-28,84.9166666666667
2005-10-29,92.25
2005-10-30,92.7083333333333
2005-10-31,91.9166666666667
2005-11-01,90.2916666666667
2005-11-02,91
2005-11-03,83.75
2005-11-04,86.75
2005-11-05,82.9583333333333
2005-11-06,83.0833333333333
2005-11-07,83.25
2005-11-08,90.9583333333333
2005-11-09,84.4166666666667
2005-11-10,79.25
2005-11-11,74.0416666666667
2005-11-12,78.7916666666667
2005-11-13,78.75
2005-11-14,80.8333333333333
2005-11-15,69.5
2005-11-16,72.4583333333333
2005-11-17,88.5833333333333
2005-11-18,83.625
2005-11-19,74.25
2005-11-20,81.0833333333333
2005-11-21,75.5416666666667
2005-11-22,80.6666666666667
2005-11-23,77.6666666666667
2005-11-24,75.6666666666667
2005-11-25,93.4583333333333
2005-11-26,88.7083333333333
2005-11-27,71.75
2005-11-28,76
2005-11-29,81.5416666666667
2005-11-30,81.7083333333333
2005-12-01,79.9166666666667
2005-12-02,94.4166666666667
2005-12-03,84.4583333333333
2005-12-04,74.9166666666667
2005-12-05,70.0833333333333
2005-12-06,88.9166666666667
2005-12-07,81.0416666666667
2005-12-08,77.7916666666667
2005-12-09,78.25
2005-12-10,84.125
2005-12-11,92.375
2005-12-12,90.5
2005-12-13,87.9166666666667
2005-12-14,85.7916666666667
2005-12-15,81.875
2005-12-16,73.7916666666667
2005-12-17,74.2083333333333
2005-12-18,87.1666666666667
2005-12-19,74.0833333333333
2005-12-20,74
2005-12-21,86
2005-12-22,83.8333333333333
2005-12-23,70.625
2005-12-24,76.5833333333333
2005-12-25,85.5
2005-12-26,76.5833333333333
2005-12-27,81.25
2005-12-28,77.4166666666667
2005-12-29,73.4583333333333
2005-12-30,75.7916666666667
2005-12-31,76.2083333333333
2006-01-01,87.4583333333333
2006-01-02,90.5416666666667
2006-01-03,86.2916666666667
2006-01-04,90.5416666666667
2006-01-05,88.5416666666667
2006-01-06,84.375
2006-01-07,83.2083333333333
2006-01-08,80.9166666666667
2006-01-09,78.625
2006-01-10,74.25
2006-01-11,75.0833333333333
2006-01-12,78.6666666666667
2006-01-13,71.25
2006-01-14,73.875
