"data","PressaoMED"
2005-01-01,925.398954172872
2005-01-02,925.969424720873
2005-01-03,924.633441737486
2005-01-04,922.205677937201
2005-01-05,920.83765245466
2005-01-06,922.397631871884
2005-01-07,924.003166900783
2005-01-08,923.098722271126
2005-01-09,920.699948560481
2005-01-10,919.663990498629
2005-01-11,920.757263030065
2005-01-12,922.198325735206
2005-01-13,921.689298787751
2005-01-14,920.169575125304
2005-01-15,917.985491216129
2005-01-16,918.819507652499
2005-01-17,920.354670576832
2005-01-18,920.055825900451
2005-01-19,919.704482735624
2005-01-20,919.293402220479
2005-01-21,922.752568611163
2005-01-22,925.168636727787
2005-01-23,923.735125914885
2005-01-24,921.207722268229
2005-01-25,918.860820397567
2005-01-26,925.598269032166
2005-01-27,927.939467656883
2005-01-28,925.974857136314
2005-01-29,923.6132366245
2005-01-30,923.450712652724
2005-01-31,924.04879814735
2005-02-01,922.33986871309
2005-02-02,922.947817695396
2005-02-03,926.530535750856
2005-02-04,928.98764543763
2005-02-05,929.535581344517
2005-02-06,929.289749230414
2005-02-07,928.303362601073
2005-02-08,928.094834553394
2005-02-09,926.850642883536
2005-02-10,922.545607393511
2005-02-11,918.771541479076
2005-02-12,918.185956305268
2005-02-13,919.768769508448
2005-02-14,920.314818887711
2005-02-15,919.977226252547
2005-02-16,921.209960949668
2005-02-17,923.789842975312
2005-02-18,924.476289131727
2005-02-19,924.604039997813
2005-02-20,924.827350037546
2005-02-21,923.730368762241
2005-02-22,921.740100579073
2005-02-23,923.624960011437
2005-02-24,925.446894155115
2005-02-25,923.101226801811
2005-02-26,920.417490818602
2005-02-27,920.875045458214
2005-02-28,923.071443593512
2005-03-01,925.812026297554
2005-03-02,927.435449453602
2005-03-03,928.076456571532
2005-03-04,927.107340997869
2005-03-05,927.665801767486
2005-03-06,926.320159633502
2005-03-07,925.275741224683
2005-03-08,924.774360628919
2005-03-09,923.196162721717
2005-03-10,922.958020148532
2005-03-11,923.283055593667
2005-03-12,923.286232927907
2005-03-13,921.501033568583
2005-03-14,919.085426606254
2005-03-15,920.499919513258
2005-03-16,923.053987879133
2005-03-17,923.642836065135
2005-03-18,923.135664531751
2005-03-19,923.701810465979
2005-03-20,924.273208346046
2005-03-21,925.052057231816
2005-03-22,925.271355893681
2005-03-23,926.094269056558
2005-03-24,926.925290825887
2005-03-25,927.675295312814
2005-03-26,926.698598590429
2005-03-27,926.387078175991
2005-03-28,926.224599136631
2005-03-29,925.127227760632
2005-03-30,926.021896693166
2005-03-31,926.408947319616
2005-04-01,925.785206757734
2005-04-02,925.318769881962
2005-04-03,925.337794418426
2005-04-04,927.274752413795
2005-04-05,929.2787836006
2005-04-06,928.826524303257
2005-04-07,926.529883476724
2005-04-08,926.752265198916
2005-04-09,927.675527563157
2005-04-10,926.761419506588
2005-04-11,925.537889350231
2005-04-12,926.98000894456
2005-04-13,928.400542506425
2005-04-14,926.693701947036
2005-04-15,925.6967203124
2005-04-16,926.267586261215
2005-04-17,927.786566172608
2005-04-18,926.616730965185
2005-04-19,925.214158907768
2005-04-20,925.208725603511
2005-04-21,925.366547390345
2005-04-22,925.777138107995
2005-04-23,925.269437800321
2005-04-24,925.182218287457
2005-04-25,923.990273392859
2005-04-26,928.123862543805
2005-04-27,928.220623045873
2005-04-28,926.892448304197
2005-04-29,927.522227766085
2005-04-30,928.776220306551
2005-05-01,930.661692566291
2005-05-02,930.491828707064
2005-05-03,930.520183785595
2005-05-04,930.91842374235
2005-05-05,930.441866858883
2005-05-06,928.681458471772
2005-05-07,928.261610723787
2005-05-08,929.764407182832
2005-05-09,929.828923860637
2005-05-10,928.36828217852
2005-05-11,928.40520490575
2005-05-12,928.005833434278
2005-05-13,927.795958471263
2005-05-14,926.681807365845
2005-05-15,926.334496848247
2005-05-16,925.348097248862
2005-05-17,924.743001542448
2005-05-18,923.207035773034
2005-05-19,922.189720318502
2005-05-20,922.057025818999
2005-05-21,920.816559729402
2005-05-22,923.713290750132
2005-05-23,923.498205798939
2005-05-24,919.998802710799
2005-05-25,919.795784868274
2005-05-26,928.952351404783
2005-05-27,931.622096558093
2005-05-28,931.33398745378
2005-05-29,931.144343821312
2005-05-30,932.692532182164
2005-05-31,932.187452616728
2005-06-01,931.690189903963
2005-06-02,930.179043509979
2005-06-03,930.67987540698
2005-06-04,931.665166425872
2005-06-05,932.274437381676
2005-06-06,930.882254318165
2005-06-07,929.232310548823
2005-06-08,930.04315800736
2005-06-09,930.130189619566
2005-06-10,929.147945601189
2005-06-11,928.406571263376
2005-06-12,928.042603272972
2005-06-13,927.145944444093
2005-06-14,928.250414577932
2005-06-15,930.030640473513
2005-06-16,927.874430179689
2005-06-17,925.651460664717
2005-06-18,923.288104336218
2005-06-19,924.08302898486
2005-06-20,925.657075672918
2005-06-21,931.555687804233
2005-06-22,933.171088944485
2005-06-23,931.652445424315
2005-06-24,930.929261345471
2005-06-25,929.961545959429
2005-06-26,928.455058969461
2005-06-27,927.475428971098
2005-06-28,928.945777953741
2005-06-29,928.84159979895
2005-06-30,929.643540106154
2005-07-01,929.611268800263
2005-07-02,928.420529163762
2005-07-03,928.278008243529
2005-07-04,926.395968083187
2005-07-05,927.811902406087
2005-07-06,932.927848839985
2005-07-07,937.077969271895
2005-07-08,937.869651915504
2005-07-09,937.265823178779
