"data","Irradiacao"
2005-01-01,28.0812301278327
2005-01-02,28.1596667261785
2005-01-03,20.843314843919
2005-01-04,11.4603088738674
2005-01-05,12.8908156276463
2005-01-06,17.5011169352755
2005-01-07,20.4413953255661
2005-01-08,22.029872637061
2005-01-09,26.717918730444
2005-01-10,22.2651247057152
2005-01-11,5.81264795327163
2005-01-12,13.5997512090503
2005-01-13,27.0268888437523
2005-01-14,27.8187735351187
2005-01-15,28.6103346146284
2005-01-16,11.3702665102493
2005-01-17,7.00067638205988
2005-01-18,8.50872236053202
2005-01-19,10.889773377258
2005-01-20,7.71261810586124
2005-01-21,10.2517649354667
2005-01-22,13.1869391665442
2005-01-23,16.8353215811927
2005-01-24,14.134893771629
2005-01-25,13.8945027199193
2005-01-26,8.49857925856973
2005-01-27,6.83171583906827
2005-01-28,9.92252389502144
2005-01-29,6.19492826673306
2005-01-30,19.5870830651252
2005-01-31,28.2983878134601
2005-02-01,16.7264957240045
2005-02-02,20.3654701691657
2005-02-03,17.8267795930882
2005-02-04,11.7272899272927
2005-02-05,12.4363626064173
2005-02-06,25.0905379758586
2005-02-07,27.4558551035517
2005-02-08,28.5544647087214
2005-02-09,28.4665228395057
2005-02-10,25.0598275292783
2005-02-11,23.3927954193813
2005-02-12,20.2264489770448
2005-02-13,21.8768117714721
2005-02-14,23.3679212132729
2005-02-15,19.5733525249887
2005-02-16,26.7401083741478
2005-02-17,20.5036483063898
2005-02-18,21.7556094573971
2005-02-19,16.864518794702
2005-02-20,24.9638797872244
2005-02-21,24.4020232709277
2005-02-22,25.0985166989318
2005-02-23,15.5766230087079
2005-02-24,17.140296423341
2005-02-25,14.697810083323
2005-02-26,13.3563071176103
2005-02-27,14.2122426823036
2005-02-28,22.1225219612993
2005-03-01,17.096080852272
2005-03-02,7.84648850933804
2005-03-03,6.74650328302535
2005-03-04,13.7820990571656
2005-03-05,20.3401588513992
2005-03-06,15.5625599938399
2005-03-07,19.9250564984242
2005-03-08,21.5510419671965
2005-03-09,23.8764167083392
2005-03-10,21.5232691833783
2005-03-11,16.9927091802642
2005-03-12,16.7478672912866
2005-03-13,20.0801246989597
2005-03-14,15.3261500678
2005-03-15,7.70575377714266
2005-03-16,10.8040693564185
2005-03-17,14.5955220825744
2005-03-18,12.1830164434489
2005-03-19,18.754469834457
2005-03-20,18.5855036819884
2005-03-21,10.9960791636163
2005-03-22,13.1502073110492
2005-03-23,14.4518470899715
2005-03-24,8.7341543711596
2005-03-25,9.57475042054573
2005-03-26,7.87342049043858
2005-03-27,12.4821573558754
2005-03-28,16.2375948699349
2005-03-29,18.9882327094587
2005-03-30,12.8344336920831
2005-03-31,17.6525922901659
2005-04-01,17.9436109089356
2005-04-02,19.6877806959101
2005-04-03,20.2055066681133
2005-04-04,8.80709666159019
2005-04-05,6.89163772400748
2005-04-06,15.9580034817904
2005-04-07,18.7617637781761
2005-04-08,11.3631773586079
2005-04-09,15.2301729620781
2005-04-10,17.3428749694587
2005-04-11,18.0856137438577
2005-04-12,18.9784768783292
2005-04-13,16.6885474316955
2005-04-14,18.7915365629588
2005-04-15,19.378562165907
2005-04-16,13.5451576899726
2005-04-17,13.6078596408724
2005-04-18,19.6250082202238
2005-04-19,17.2719876828661
2005-04-20,17.5565016829441
2005-04-21,11.2267106760153
2005-04-22,17.072656450826
2005-04-23,11.8057111747064
2005-04-24,16.0660947929713
2005-04-25,9.53758256969872
2005-04-26,7.13531678935434
2005-04-27,11.6868232791205
2005-04-28,6.00251881387733
2005-04-29,10.3972905547287
2005-04-30,9.56814147337601
2005-05-01,10.3782368182904
2005-05-02,12.6742166237987
2005-05-03,16.3033400496902
2005-05-04,17.8473631577262
2005-05-05,17.6829223284237
2005-05-06,16.9261451109067
2005-05-07,16.4669695797486
2005-05-08,14.8253747338804
2005-05-09,8.01417064041515
2005-05-10,10.5914880409406
2005-05-11,16.852721696773
2005-05-12,15.4382159329517
2005-05-13,14.8363251579381
2005-05-14,16.9580479041297
2005-05-15,16.5768103850818
2005-05-16,15.9025553827451
2005-05-17,9.57766803454892
2005-05-18,13.8977693524427
2005-05-19,13.4476627128372
2005-05-20,12.0463981704835
2005-05-21,7.50067213181731
2005-05-22,4.27793959448253
2005-05-23,8.00203632722149
2005-05-24,5.36786429445613
2005-05-25,5.14558002640526
2005-05-26,14.9150867258248
2005-05-27,15.634767322711
2005-05-28,13.8044537681782
2005-05-29,15.6892381968959
2005-05-30,12.6975258692831
2005-05-31,14.5086406652034
2005-06-01,13.5563649601148
2005-06-02,11.3704623335693
2005-06-03,13.7611095567493
2005-06-04,14.9886439461647
2005-06-05,15.9977841749017
2005-06-06,11.4231389023151
2005-06-07,13.7382099219288
2005-06-08,12.7189043202558
2005-06-09,14.23567667561
2005-06-10,13.0727192996791
2005-06-11,14.8062151993213
2005-06-12,15.0194013248514
2005-06-13,16.896856747185
2005-06-14,15.3018989075507
2005-06-15,13.5633453460443
2005-06-16,14.2118650269504
2005-06-17,14.2821726253432
2005-06-18,10.8830309337133
2005-06-19,12.5445221592205
2005-06-20,4.37653727472427
2005-06-21,4.88228981608117
2005-06-22,7.1949387638258
2005-06-23,13.6996052393429
2005-06-24,9.58039830177478
2005-06-25,12.9781866568319
2005-06-26,14.6419407835107
2005-06-27,12.1132657352344
2005-06-28,4.08898965196399
2005-06-29,10.3089758247877
2005-06-30,12.9148634501115
2005-07-01,13.4964032426054
2005-07-02,13.3548869133413
2005-07-03,15.0956331182744
2005-07-04,15.0275647709096
2005-07-05,3.87812097608908
2005-07-06,4.74878594338428
