"EPUs.MP10","m","pblh.m.","ustar.m.s.","VelocVento","DirVento","Insolacao","Irradiacao","Precipitacao","PressaoMED","TempMED","TempMAX","UR"
0,1,1022.2,0.23508,6.04166666666667,"SSE",9.5,28.0812301278327,0,925.398954172872,22.3458333333333,28,76.5833333333333
0,1,1059.7,0.20312,6.125,"E",10.7,28.1596667261785,0,925.969424720873,22.7041666666667,28.5,76.375
0,1,1521,0.16259,6.45833333333333,"NNE",5.4,20.843314843919,48.9,924.633441737486,22.7,30,76.2916666666667
0,1,804.15,0.26979,8.16666666666667,"NNE",0,11.4603088738674,12.4,922.205677937201,20.9791666666667,24.2,91.2916666666667
0,1,998.28,0.40222,9,"NW",0.2,12.8908156276463,36.4,920.83765245466,22.0208333333333,25.3,85.5
0,1,1149,0.43901,9.20833333333333,"NNW",2.2,17.5011169352755,0,922.397631871884,23.8791666666667,28.3,77.1666666666667
0,1,1404.4,0.28301,6.625,"NNE",4.3,20.4413953255661,0,924.003166900783,24.3458333333333,30.2,78.6666666666667
0,1,971.59,0.15236,5.625,"NE",7.6,22.029872637061,0,923.098722271126,24.15,30,80.5833333333333
0,1,1149,0.18658,6.95833333333333,"E",9.8,26.717918730444,1.9,920.699948560481,25.1166666666667,31.4,77.9583333333333
0,1,1350.7,0.39144,7.70833333333333,"NW",7.3,22.2651247057152,4.8,919.663990498629,25.2625,30.7,74.625
0,1,533.34,0.23271,3.375,"ESE",0,5.81264795327163,48.1,920.757263030065,21.9708333333333,25,94.2083333333333
0,1,643.79,0.38075,6.79166666666667,"SE",1.7,13.5997512090503,30.3,922.198325735206,20.4125,24,91.25
0,1,1166.9,0.18627,5.33333333333333,"ESE",8.9,27.0268888437523,0,921.689298787751,21.1708333333333,28.6,77.125
0,1,1157,0.14419,5.16666666666667,"E",8.7,27.8187735351187,0,920.169575125304,21.15,27.8,78.4166666666667
0,1,1392.9,0.33096,8.25,"NW",11.3,28.6103346146284,0,917.985491216129,26.1166666666667,33,65.875
0,1,898.95,0.29404,8.875,"NNW",2.8,11.3702665102493,15.9,918.819507652499,23.8791666666667,29.3,81.5
0,1,411.64,0.28555,4.04166666666667,"SE",0,7.00067638205988,4.2,920.354670576832,20.2583333333333,22.4,93.4166666666667
0,1,460.51,0.13276,2.875,"ESE",0,8.50872236053202,1.1,920.055825900451,21.425,23.9,93.4166666666667
0,1,497.37,0.18836,5.08333333333333,"NW",0.1,10.889773377258,1.4,919.704482735624,23.0208333333333,25.7,86.0416666666667
0,1,1329.7,0.48798,8.875,"NW",0,7.71261810586124,25.9,919.293402220479,21.9333333333333,22.8,92.25
0,1,1071.7,0.33204,5.5,"WNW",0,10.2517649354667,52.8,922.752568611163,21.2666666666667,25.2,93.375
0,1,928.22,0.16803,3.70833333333333,"E",1.7,13.1869391665442,55.8,925.168636727787,22.0083333333333,27.9,91.9583333333333
0,1,1054.4,0.15504,4.16666666666667,"NE",5.1,16.8353215811927,0,923.735125914885,23.1625,29.5,84.9166666666667
0,1,860.86,0.17662,4.58333333333333,"NE",3.2,14.134893771629,5.3,921.207722268229,23.4375,28.7,86.7083333333333
0,1,1324.3,0.47739,10.5833333333333,"WNW",1.5,13.8945027199193,18.5,918.860820397567,22.025,26.6,88.625
0,1,736.19,0.40356,8,"SE",0,8.49857925856973,11.9,925.598269032166,16.8958333333333,18.9,92.9166666666667
0,1,616.6,0.41238,8.58333333333333,"E",0,6.83171583906827,7.1,927.939467656883,17,18.7,90.7083333333333
0,1,686.08,0.19965,7,"ENE",0,9.92252389502144,0.3,925.974857136314,19.2916666666667,22.4,90
0,1,747.57,0.12706,6.58333333333333,"NE",0,6.19492826673306,0.1,923.6132366245,20.225,22.6,89.5416666666667
0,1,897.24,0.16178,7.29166666666667,"ESE",4.8,19.5870830651252,0,923.450712652724,21.0958333333333,26.3,83.25
0,1,1223.8,0.36433,9.54166666666667,"ESE",11.2,28.2983878134601,1.3,924.04879814735,21.4333333333333,26.8,80.5833333333333
0,2,820.78,0.33428,9.41666666666667,"ESE",4.2,16.7264957240045,1.9,922.33986871309,20.4125,24.9,86.8333333333333
0,2,891.34,0.2616,5.875,"SE",4.3,20.3654701691657,1.4,922.947817695396,21.3416666666667,26.5,87.0833333333333
0,2,568.37,0.25441,5.83333333333333,"SSE",3.1,17.8267795930882,8.1,926.530535750856,21.0916666666667,25.4,87.3333333333333
0,2,770.19,0.25618,6.08333333333333,"SE",0.2,11.7272899272927,0.5,928.98764543763,19.9041666666667,23.7,90.4583333333333
0,2,716.22,0.3169,5.79166666666667,"SE",0.9,12.4363626064173,1.6,929.535581344517,18.7333333333333,22.8,89.0833333333333
0,2,868.91,0.34716,8.41666666666667,"ESE",8.1,25.0905379758586,0,929.289749230414,19.1458333333333,24.2,79.4166666666667
0,2,1316.2,0.36822,8.41666666666667,"E",11.1,27.4558551035517,0,928.303362601073,18.6458333333333,23.9,75.625
0,2,1537.4,0.31028,8.95652173913044,"E",11.4,28.5544647087214,0,928.094834553394,18.9166666666667,24.8,71.8333333333333
0,2,1384.1,0.19928,8,"ENE",10.6,28.4665228395057,0,926.850642883536,19.875,26.7,71.0833333333333
0,2,1863.3,0.25135,6.33333333333333,"NE",9.7,25.0598275292783,0,922.545607393511,21.2166666666667,29.3,68.375
0,2,1857.3,0.40431,8.20833333333333,"ESE",8,23.3927954193813,27.2,918.771541479076,22.1875,28.9,66.2916666666667
0,2,1501.1,0.30089,5.66666666666667,"NNE",7.5,20.2264489770448,6.4,918.185956305268,20.4708333333333,28.3,83.9583333333333
0,2,738.09,0.17505,4.04166666666667,"SE",6.5,21.8768117714721,7.7,919.768769508448,20.125,26.6,85.7083333333333
0,2,1203.2,0.2218,5.83333333333333,"SSE",10,23.3679212132729,0,920.314818887711,19.6458333333333,26.2,82
0,2,866.02,0.26211,5.66666666666667,"SSE",4.7,19.5733525249887,0,919.977226252547,19.8333333333333,26.3,83.0416666666667
0,2,1070.5,0.096252,5.25,"ESE",10.6,26.7401083741478,0,921.209960949668,21.6458333333333,28.2,73.5
0,2,1210.2,0.11589,7.29166666666667,"NE",7,20.5036483063898,2.2,923.789842975312,22.2916666666667,30,79.4166666666667
0,2,1255.8,0.12389,5.08333333333333,"NE",8.4,21.7556094573971,0,924.476289131727,22.875,30.4,80.4166666666667
0,2,958.44,0.15341,4.625,"SSE",4.3,16.864518794702,0,924.604039997813,22.5,27.8,83.3333333333333
0,2,1033.4,0.2734,5.875,"SE",9.5,24.9638797872244,0,924.827350037546,21.6708333333333,27.6,79.25
1,2,1297.3,0.22638,5,"SSE",10.3,24.4020232709277,0,923.730368762241,20.6875,27.2,76.0416666666667
1,2,1114.4,0.1843,4.54166666666667,"NE",9.3,25.0985166989318,0,921.740100579073,23.45,32.4,68.75
1,2,1412.2,0.14703,4.83333333333333,"S",2.8,15.5766230087079,0.4,923.624960011437,24.3708333333333,31.9,77.4166666666667
1,2,1058.1,0.12046,4.41666666666667,"ESE",4,17.140296423341,0,925.446894155115,23.9666666666667,30.2,81.6666666666667
1,2,1296.7,0.19636,3.625,"ESE",3.5,14.697810083323,9.5,923.101226801811,23.5791666666667,30.1,82.6666666666667
0,2,801.42,0.45301,7.70833333333333,"NW",2.1,13.3563071176103,2,920.417490818602,22.8083333333333,26.2,82.6666666666667
0,2,1227.1,0.42769,8.08333333333333,"NW",3,14.2122426823036,10.1,920.875045458214,23.0958333333333,26.7,83.5
0,2,1113.9,0.23029,5.91666666666667,"NW",10.5,22.1225219612993,0,923.071443593512,24.0708333333333,30.1,77.0416666666667
0,3,832.36,0.31927,6.58333333333333,"SE",5.1,17.096080852272,2.1,925.812026297554,21.2291666666667,25.6,85
0,3,607.99,0.31933,7.625,"ESE",0.2,7.84648850933804,0.5,927.435449453602,18.4041666666667,20.1,88.7083333333333
0,3,725.82,0.33937,6.79166666666667,"E",0,6.74650328302535,0,928.076456571532,17.6041666666667,19.6,87.625
0,3,888.45,0.29466,6.375,"ESE",2.9,13.7820990571656,0,927.107340997869,18.7041666666667,24.4,85.25
0,3,889.15,0.27296,6.41666666666667,"SSE",8.6,20.3401588513992,0,927.665801767486,19.4875,24.3,80.5833333333333
0,3,860.24,0.23635,5.125,"SE",2.4,15.5625599938399,0,926.320159633502,19.9291666666667,24.1,86.0833333333333
0,3,1391.6,0.070745,5.95833333333333,"ESE",8.3,19.9250564984242,0.2,925.275741224683,21.4208333333333,27.8,82.7916666666667
1,3,1260.1,0.14359,5.95833333333333,"NE",8.7,21.5510419671965,0,924.774360628919,22.7416666666667,31.3,79.8333333333333
1,3,1639.7,0.16639,5,"E",11,23.8764167083392,0,923.196162721717,24.5833333333333,32.6,65.7083333333333
1,3,1225.6,0.076063,3.33333333333333,"SE",8.6,21.5232691833783,0,922.958020148532,23.4458333333333,32.7,73.0833333333333
1,3,1557.7,0.21507,3.45833333333333,"ENE",7.1,16.9927091802642,0.3,923.283055593667,24.4083333333333,31.6,73.75
1,3,1567,0.11759,3.75,"ENE",6.6,16.7478672912866,0,923.286232927907,24.3958333333333,31.6,73.6666666666667
0,3,1578.1,0.18195,6.58333333333333,"NE",8.2,20.0801246989597,0,921.501033568583,25.2416666666667,31.4,66
0,3,1332.4,0.53716,9.83333333333333,"NW",3.6,15.3261500678,11.6,919.085426606254,24.4208333333333,29.8,78.8333333333333
0,3,812.97,0.40683,6.375,"N",0.1,7.70575377714266,36.6,920.499919513258,22.3791666666667,26,92.5416666666667
0,3,793.02,0.41668,9.70833333333333,"NNW",0.2,10.8040693564185,11.7,923.053987879133,21.9208333333333,24.6,86.0416666666667
0,3,846.9,0.27454,5.375,"NNW",3.2,14.5955220825744,13.2,923.642836065135,22.925,28.8,84.9166666666667
0,3,953.86,0.22477,4.58333333333333,"NNE",4.9,12.1830164434489,7.6,923.135664531751,22.5583333333333,26.7,87.6666666666667
0,3,1155,0.14494,5.16666666666667,"NNE",7.5,18.754469834457,0,923.701810465979,22.3041666666667,28,83.75
0,3,1120.8,0.093664,4.66666666666667,"E",7.7,18.5855036819884,0.4,924.273208346046,22.9125,29.5,82.1666666666667
0,3,1036,0.14269,4.79166666666667,"N",0.1,10.9960791636163,0.9,925.052057231816,22.975,26.4,84.8333333333333
0,3,760.11,0.28241,6.20833333333333,"NE",1.6,13.1502073110492,0.5,925.271355893681,22.8291666666667,26.3,84.4583333333333
0,3,1032.1,0.25633,4.70833333333333,"NW",4.5,14.4518470899715,0.1,926.094269056558,23.6416666666667,29.9,83.25
0,3,681.8,0.32618,6,"S",0.3,8.7341543711596,11.6,926.925290825887,20.55,22.8,93.0833333333333
0,3,647.1,0.30869,6,"SE",0.7,9.57475042054573,2.4,927.675295312814,18.7583333333333,21.1,89.1666666666667
0,3,853.21,0.27732,4.125,"ESE",0.3,7.87342049043858,1,926.698598590429,18.3125,22,89.3333333333333
0,3,964.26,0.20392,6.79166666666667,"E",2,12.4821573558754,0,926.387078175991,19.675,24.2,84.2083333333333
0,3,863.66,0.24981,5.75,"ESE",4.8,16.2375948699349,0,926.224599136631,20.2291666666667,25.1,83.7083333333333
0,3,1127.5,0.117,6.79166666666667,"ENE",8.1,18.9882327094587,0,925.127227760632,22.0416666666667,29.4,79.0416666666667
0,3,1184.1,0.11011,4.95833333333333,"SE",6,12.8344336920831,2.8,926.021896693166,22.0958333333333,29.7,82.625
0,3,973.47,0.14333,4.375,"SE",6.7,17.6525922901659,0,926.408947319616,21.9416666666667,28.2,82.5416666666667
0,4,1167.3,0.15519,5.16666666666667,"E",8.6,17.9436109089356,7.2,925.785206757734,23.7083333333333,30.6,79.2083333333333
0,4,1310.1,0.37455,6.70833333333333,"NE",9.2,19.6877806959101,0.1,925.318769881962,24.7583333333333,30.8,72.8333333333333
0,4,1197.6,0.39008,5.375,"NW",9.6,20.2055066681133,0,925.337794418426,25.5125,31.8,71.7083333333333
0,4,747.9,0.12412,6.33333333333333,"SSE",3.9,8.80709666159019,49.6,927.274752413795,22.1916666666667,28.4,89.4166666666667
0,4,754.14,0.26165,6,"SE",0,6.89163772400748,0.1,929.2787836006,20.4875,22.6,92.5
0,4,945.69,0.14961,5.91666666666667,"SE",7.7,15.9580034817904,0,928.826524303257,23.5041666666667,28.6,85.5833333333333
0,4,1055,0.18383,6.70833333333333,"NE",7.7,18.7617637781761,0.6,926.529883476724,24.5416666666667,31.4,78.5
0,4,1263.3,0.14017,4.66666666666667,"E",6.1,11.3631773586079,0,926.752265198916,24.5833333333333,30.6,81.0416666666667
0,4,925.24,0.21124,5.91666666666667,"E",6,15.2301729620781,0,927.675527563157,22.8458333333333,27,84.375
1,4,1073.8,0.097259,4.83333333333333,"E",8.7,17.3428749694587,0,926.761419506588,23.1541666666667,28.8,81.9166666666667
1,4,1295.4,0.21615,4.08333333333333,"NE",8.9,18.0856137438577,0,925.537889350231,24.2875,31.3,77.2083333333333
1,4,1419.1,0.12,4.04166666666667,"SSE",9.3,18.9784768783292,0,926.98000894456,24.85,31.9,68.6666666666667
1,4,932.98,0.24478,6.125,"SSE",8.7,16.6885474316955,0,928.400542506425,22.8333333333333,27.5,81.75
1,4,1110.7,0.14354,4.66666666666667,"ENE",9.1,18.7915365629588,0,926.693701947036,23.1833333333333,30.5,76.1666666666667
1,4,1479.9,0.30378,5.125,"WNW",10,19.378562165907,0,925.6967203124,23.9166666666667,30.8,69.3333333333333
1,4,1022,0.13842,4.75,"SSE",5.6,13.5451576899726,0,926.267586261215,22.2833333333333,28.5,82.4583333333333
0,4,824.65,0.21046,5.54166666666667,"ESE",4.7,13.6078596408724,0.1,927.786566172608,21.5333333333333,25.5,84.7083333333333
0,4,1099.5,0.18323,4.83333333333333,"E",9.8,19.6250082202238,0,926.616730965185,20.65,26.4,78.4166666666667
0,4,1222.1,0.086913,4.16666666666667,"NE",8.4,17.2719876828661,0,925.214158907768,21.5666666666667,29.5,72.5833333333333
0,4,1413.7,0.17144,5.29166666666667,"SE",9.1,17.5565016829441,0,925.208725603511,21.8333333333333,29.7,75.6666666666667
0,4,916.96,0.12568,5.08333333333333,"SE",2.8,11.2267106760153,6.4,925.366547390345,20.2916666666667,27.2,85.5416666666667
0,4,1036.3,0.21656,5.58333333333333,"E",9.1,17.072656450826,0,925.777138107995,20.0166666666667,24.6,79.4166666666667
0,4,1210.5,0.093077,5,"E",6.1,11.8057111747064,6,925.269437800321,19.625,26.4,85.4583333333333
