"data","m","pblh.m.","ustar.m.s.","VelocVento","DirVento","Insolacao","Irradiacao","Precipitacao","PressaoMED","TempMED","TempMAX","UR","MP10..µg.m3..","O3..µg.m3.","CO..ppm.","MP2.5..µg.m3.","NO2..µg.m3.","SO2..µg.m3.","dias_sem_chuva"
"2005-01-01",1,1022.2,0.23508,6.04166666666667,"SSE",9.5,28.0812301278327,0,925.398954172872,22.3458333333333,28,76.5833333333333,46.3219201666667,84.359375,1.10510204428571,NA,24.54347825,7.47826095,1
"2005-01-02",1,1059.7,0.20312,6.125,"E",10.7,28.1596667261785,0,925.969424720873,22.7041666666667,28.5,76.375,33.4649621666667,91.921875,0.946683672857143,NA,36.66304325,9.59782615,2
"2005-01-03",1,1521,0.16259,6.45833333333333,"NNE",5.4,20.843314843919,48.9,924.633441737486,22.7,30,76.2916666666667,28.2640715833333,61.859375,1.43673469428571,NA,43.36956525,12.1847826,0
"2005-01-04",1,804.15,0.26979,8.16666666666667,"NNE",0,11.4603088738674,12.4,922.205677937201,20.9791666666667,24.2,91.2916666666667,24.7423035,26.859375,1.51488095714286,NA,37.521739,16.0579709,0
"2005-01-05",1,998.28,0.40222,9,"NW",0.2,12.8908156276463,36.4,920.83765245466,22.0208333333333,25.3,85.5,21.3333334,28.2678571428571,1.59375,NA,36.673913,8.695652,0
"2005-01-06",1,1149,0.43901,9.20833333333333,"NNW",2.2,17.5011169352755,0,922.397631871884,23.8791666666667,28.3,77.1666666666667,32.0530301818182,42.9821428571429,1.66994048333333,NA,46.728261,12.6811594333333,1
"2005-01-07",1,1404.4,0.28301,6.625,"NNE",4.3,20.4413953255661,0,924.003166900783,24.3458333333333,30.2,78.6666666666667,35.5058539090909,54.7142857142857,2.05416666666667,NA,47.46739125,13.7826086,2
"2005-01-08",1,971.59,0.15236,5.625,"NE",7.6,22.029872637061,0,923.098722271126,24.15,30,80.5833333333333,42.7514222727273,77.4642857142857,1.636904765,NA,37.98913025,12.8695652666667,3
"2005-01-09",1,1149,0.18658,6.95833333333333,"E",9.8,26.717918730444,1.9,920.699948560481,25.1166666666667,31.4,77.9583333333333,36.4186087272727,77.2321428571429,1.43333333333333,NA,42.07608675,12.7536232,0
"2005-01-10",1,1350.7,0.39144,7.70833333333333,"NW",7.3,22.2651247057152,4.8,919.663990498629,25.2625,30.7,74.625,38.7035570909091,65.0663265714286,1.63333333333333,NA,50.119565,11.5362321333333,0
"2005-01-11",1,533.34,0.23271,3.375,"ESE",0,5.81264795327163,48.1,920.757263030065,21.9708333333333,25,94.2083333333333,28.3662764545455,29.8928571428571,1.79434523333333,NA,47.6397515,9.31763295,0
"2005-01-12",1,643.79,0.38075,6.79166666666667,"SE",1.7,13.5997512090503,30.3,922.198325735206,20.4125,24,91.25,30.6084560909091,30.4166667142857,1.50416666666667,NA,39.7391305,11.7173913,0
"2005-01-13",1,1166.9,0.18627,5.33333333333333,"ESE",8.9,27.0268888437523,0,921.689298787751,21.1708333333333,28.6,77.125,37.9734848181818,109.522958571429,1.42380951666667,NA,46.10622525,13.086956525,1
"2005-01-14",1,1157,0.14419,5.16666666666667,"E",8.7,27.8187735351187,0,920.169575125304,21.15,27.8,78.4166666666667,43.6556324545455,103.875,1.575,NA,51.77569175,16.94565225,2
"2005-01-15",1,1392.9,0.33096,8.25,"NW",11.3,28.6103346146284,0,917.985491216129,26.1166666666667,33,65.875,36.2562968181818,87.2619047142857,1.79702381666667,NA,42.05434775,11.18840575,3
"2005-01-16",1,898.95,0.29404,8.875,"NNW",2.8,11.3702665102493,15.9,918.819507652499,23.8791666666667,29.3,81.5,28.138618,51.6607142857143,1.38005952833333,NA,41.0652175,9.125000125,0
"2005-01-17",1,411.64,0.28555,4.04166666666667,"SE",0,7.00067638205988,4.2,920.354670576832,20.2583333333333,22.4,93.4166666666667,35.8666667,34.3188775714286,1.66458333333333,NA,50.576087,12.00000005,0
"2005-01-18",1,460.51,0.13276,2.875,"ESE",0,8.50872236053202,1.1,920.055825900451,21.425,23.9,93.4166666666667,35.7422101,39.3571428571429,2.17083333333333,NA,50.43478275,11.750000025,0
"2005-01-19",1,497.37,0.18836,5.08333333333333,"NW",0.1,10.889773377258,1.4,919.704482735624,23.0208333333333,25.7,86.0416666666667,27.5227272727273,24.8877551428571,1.75041666666667,NA,37.8369565,6.9239131,0
"2005-01-20",1,1329.7,0.48798,8.875,"NW",0,7.71261810586124,25.9,919.293402220479,21.9333333333333,22.8,92.25,25.3883398181818,14.6556122428571,1.9925,NA,41.9985175,7.20652165,0
"2005-01-21",1,1071.7,0.33204,5.5,"WNW",0,10.2517649354667,52.8,922.752568611163,21.2666666666667,25.2,93.375,27.3712301818182,15.4311224142857,2.02714286,NA,42.3853755,6.9021739,0
"2005-01-22",1,928.22,0.16803,3.70833333333333,"E",1.7,13.1869391665442,55.8,925.168636727787,22.0083333333333,27.9,91.9583333333333,35.4716155454545,36.8494898571429,2.00714286,NA,36.29347825,7.271739275,0
"2005-01-23",1,1054.4,0.15504,4.16666666666667,"NE",5.1,16.8353215811927,0,923.735125914885,23.1625,29.5,84.9166666666667,42.1009553636364,74.5357142857143,1.76285714,NA,48.77173925,11.17391305,1
"2005-01-24",1,860.86,0.17662,4.58333333333333,"NE",3.2,14.134893771629,5.3,921.207722268229,23.4375,28.7,86.7083333333333,43.2631753636364,59.3010204285714,1.83035715,NA,53.8152175,13.532608575,0
